ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk
penguin,How tall were the tallest prehistoric penguins?,1.80 meters (6 ft) tall,medium,medium,S08_set1_a3,"['107', '109', '90']",Not specified,". Nordenskjoeld's Giant Penguin was the tallest, growing nearly 1.80 meters (6 ft) tall. "
penguin,What makes penguins so agile in the water?,Their wings,hard,hard,S08_set1_a3,"['94', '97', '122']","The layer of air preserved in the feathers provides buoyancy, making penguins agile in the water.",". Their wings have become flippers, useless for flight in the air. In the water, however, penguins are astonishingly agile. "
penguin,"Why do penguins ""tobaggan""?",Conserves energy while moving quickly,hard,hard,S08_set1_a3,"['113', '94', '127']",Not specified,"Penguins either waddle on their feet or slide on their bellies across the snow, a movement called ""tobogganing"", which conserves energy while moving quickly.  "
penguin,Who spend half of their life on land and half in the oceans?,Penguins,,medium,S08_set1_a3,"['92', '604', '566']",Penguins.,"Most penguins feed on krill, fish, squid, and other forms of sealife caught while swimming underwater. They spend half of their life on land and half in the oceans."
penguin,What is also the distance that Antarctic tourists are told to keep from penguins?,3 meter,,medium,S08_set1_a3,"['93', '87', '96']",3 meters.,"Typically, penguins do not approach closer than about 3 meters (9 ft); they become nervous at about that distance. This is also the distance that Antarctic tourists are told to keep from penguins (tourists are not supposed to approach closer than 3 meters, but are not expected to withdraw if the penguins come closer)."
penguin,"What have become flippers, useless for flight in the air?",Wings,,medium,S08_set1_a3,"['462', '30', '17']",Not specified,"Their wings have become flippers, useless for flight in the air. In the water, however, penguins are astonishingly agile. "
penguin,What happens when mothers lose a chick?,They sometimes attempt to steal another mothers chick,,medium,S08_set1_a3,"['99', '315', '15']","Attempts to ""steal"" another mother's chick.","When mothers lose a chick, they sometimes attempt to ""steal"" another mother's chick, usually unsuccessfully as other females in the vicinity assist the defending mother in keeping her chick.  "
penguin,Is it true that each penguin gets a turn in the center?,Yes,,easy,S08_set1_a3,"['97', '113', '96']",Yes,They often huddle together to keep warm and rotate positions to make sure that each penguin gets a turn in the center of the heat pack.
penguin,Are all penguins countershaded?,Yes,,easy,S08_set1_a3,"['94', '113', '127']",Yes.,"All penguins are countershaded - that is, they have a white underside and a dark (mostly black) upperside. "
penguin,Are penguins astonishingly agile?,Yes,,easy,S08_set1_a3,"['93', '95', '127']",No.,"Penguins are superbly adapted to an aquatic life. Their wings have become flippers, useless for flight in the air. In the water, however, penguins are astonishingly agile. "
penguin,Are penguins at risk?,Only at sea,,easy,S08_set1_a3,"['93', '94', '87']",Yes.,penguins are at risk at sea from predators such as the leopard seal. 
penguin,"Is it also possible that penguin comes from the Latin pinguis , fat ?",Yes,,easy,S08_set1_a3,"['126', '121', '125']",Yes,"It is also possible that penguin comes from the Latin pinguis, “fat”. This is supported by the fact that the corresponding words in most other languages (e.g., French pingouin, German Pinguin) have i instead of e as the first vowel.  However, a Welsh 'i' is often sound-shifted to an 'e' in the English language, ."
penguin,Have penguins an average sense of hearing for birds ?,Yes,,easy,S08_set1_a3,"['96', '94', '93']",Yes,Penguins have an average sense of hearing for birds (Wever et al 1969); this is used by parents and chicks to locate one another in crowded colonies (Jouventin et al 1999). 
penguin,Can larger penguins dive deep in case of need ?,Yes,,easy,S08_set1_a3,"['95', '90', '92']",Yes,Larger penguins can dive deep in case of need. 
penguin,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?",Yes,,easy,S08_set1_a3,"['90', '88', '109']",Yes,"The smallest penguin species is the Little Blue Penguin (also known as the Fairy Penguin), which stands around 40 cm tall (16 in) and weighs 1 kg (2.2 lb). "
penguin,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",No it is not known,,medium,S08_set1_a3,"['109', '117', '108']",Yes,"It is not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage, or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae - were they considered valid -, or whether there was a wide size range present in the Palaeeudyptinae as delimited as usually done these days (i.e., including Anthropornis nordenskjoeldi) (Ksepka et al. 2006). "
penguin,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes,,easy,S08_set1_a3,"['129', '90', '113']",Yes,The largest living species is the Emperor Penguin (Aptenodytes forsteri): 
penguin,"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?",Yes,,easy,S08_set1_a3,"['90', '109', '88']",Yes.,"The smallest penguin species is the Little Blue Penguin (also known as the Fairy Penguin), which stands around 40 cm tall (16 in) and weighs 1 kg (2.2 lb). "
penguin,What happened in a region not quite 2000 km south of the equator 35 mya?,One Giant penguin occured,,medium,S08_set1_a3,"['91', '110', '119']",Not specified,"These were not restricted to Antarctic regions; on the contrary, subantarctic regions harboured high diversity, and at least one giant penguin occurred in a region not quite 2000 km south of the Equator 35 mya , in a climate decidedy warmer than today."
