ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk
polar_bear,Can polar bears be seen under infrared photography?,Polar bears are nearly invisible under infrared photography.,hard,easy,S08_set1_a4,"['137', '154', '164']",Yes,"The thick undercoat does, however, insulate the bears: they overheat at temperatures above 10 °C (50 °F), and are nearly invisible under infrared photography"
polar_bear,What is actually black in color?,A polar bear's skin.,,medium,S08_set1_a4,"['51', '66', '68']",Not specified.,Its skin is actually black in color
polar_bear,What insulate it against the cold?,Its think blubber and fur.,,medium,S08_set1_a4,"['138', '91', '97']",Not specified,Its thick blubber and fur insulate it against the cold. 
polar_bear,What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.,,medium,S08_set1_a4,"['141', '132', '568']",Database entry.,Database entry includes a lengthy justification of why this species is listed as vulnerable.    .  Local long-term studies show that 7 out of 19 subpopulations are declining or already severely reduced
polar_bear,What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.,,medium,S08_set1_a4,"['179', '178', '928']","Greenpeace, along with the Natural Resources Defense Council, filed a lawsuit in California.",On December 14 2006 the Center for Biological Diversity along with Greenpeace and the Natural Resources Defense Council filed a lawsuit in California.
polar_bear,Are studies insufficient evidence for global protection?,It is arguable.,,medium,S08_set1_a4,"['167', '179', '170']",Yes,"Mitchell Taylor, the Nunavut Government Manager of Wildlife Research, wrote a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time"
polar_bear,Are polar bears excellent swimmers?,yes,,easy,S08_set1_a4,"['154', '130', '164']",Yes,Polar bears are excellent swimmers 
polar_bear,"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice.",,medium,S08_set1_a4,"['131', '164', '154']",Fat.,"A semi-aquatic marine mammal, the polar bear has adapted for life on a combination of land, sea, and ice,  and is the apex predator within its range.  "
polar_bear,Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba.",,medium,S08_set1_a4,"['1352', '1561', '1642']",Not specified,"Garbage is now recycled or transported to Thompson, Manitoba.  Hudson Bay Post"
polar_bear,The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.,,medium,S08_set1_a4,"['164', '365', '149']",Hunt.,The bears sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.
polar_bear,Is the Polar Bear the mascot of Bowdoin college ?,yes,,easy,S08_set1_a4,"['164', '183', '146']",No,The Polar Bear is the mascot of Bowdoin college. 
polar_bear,Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes,,easy,S08_set1_a4,"['137', '139', '136']",Not specified,thumbPolar bears have been made both controversial and famous for their distinctive white fur and their habitat. 
polar_bear,"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no,,easy,S08_set1_a4,"['167', '179', '178']",Yes.,"Mitchell Taylor, the Nunavut Government Manager of Wildlife Research, wrote a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time."
polar_bear,Are Cubs born in December without awakening the mother ?,yes,,easy,S08_set1_a4,"['159', '60', '315']",Yes,Cubs are born in December without awakening the mother
